FB:FBgn0003996	12894
FB:FBgn0000527	9704
FB:FBgn0004034	8230
FB:FBgn0000153	6981
FB:FBgn0003975	6417
FB:FBgn0086348	4941
FB:FBgn0000241	4921
FB:FBgn0005558	4845
FB:FBgn0003447	4643
FB:FBgn0003513	4400
FB:FBgn0262656	4230
FB:FBgn0262111	4077
FB:FBrf0230140	3384
FB:FBgn0004647	3364
FB:FBgn0267978	3289
FB:FBgn0053196	3156
FB:FBgn0284084	3134
FB:FBgn0000490	3022
FB:FBgn0014018	2927
FB:FBgn0260400	2828
FB:FBgn0035934	2791
FB:FBgn0003515	2739
FB:FBgn0038197	2643
FB:FBgn0004644	2623
FB:FBgn0003319	2586
FB:FBgn0283531	2563
FB:FBgn0285944	2522
FB:FBgn0000546	2496
FB:FBgn0003731	2476
FB:FBgn0000042	2453
FB:FBgn0003965	2412
FB:FBgn0000154	2357
FB:FBgn0003256	2299
FB:FBgn0260632	2283
FB:FBgn0003944	2282
FB:FBgn0283499	2264
FB:FBgn0039044	2258
FB:FBgn0000337	2243
FB:FBgn0028734	2209
FB:FBgn0000504	2154
FB:FBgn0034970	2139
FB:FBgn0003345	2060
FB:FBgn0003141	2057
FB:FBgn0001624	2055
FB:FBgn0004595	2034
FB:FBgn0004652	2028
FB:FBgn0260635	2004
FB:FBgn0002577	2003
FB:FBgn0283451	1963
FB:FBgn0010379	1962
FB:FBgn0002962	1957
FB:FBgn0003068	1956
FB:FBgn0004872	1955
FB:FBrf0228008	1929
FB:FBal0018607	1919
FB:FBgn0016917	1909
FB:FBgn0283442	1904
FB:FBgn0004552	1895
FB:FBgn0003118	1892
FB:FBgn0013263	1886
FB:FBgn0002626	1882
FB:FBgn0000635	1873
FB:FBgn0003391	1864
FB:FBgn0000577	1861
FB:FBgn0000117	1847
FB:FBgn0001180	1821
FB:FBgn0011656	1806
FB:FBgn0011648	1799
FB:FBgn0005626	1795
FB:FBgn0260642	1760
FB:FBgn0003392	1745
FB:FBgn0262975	1725
FB:FBgn0261560	1694
FB:FBgn0033483	1686
FB:FBgn0267821	1676
FB:FBgn0000158	1662
FB:FBgn0000229	1652
FB:FBgn0261617	1650
FB:FBgn0027335	1649
FB:FBgn0264270	1644
FB:FBgn0264975	1635
FB:FBgn0014141	1634
FB:FBgn0002525	1631
